time to reach max speed,Acceleration force,Total tractive effort,Wheel motor Torque,MTT x number of drive wheels,,,,,,,,Fixed Variables,amount,,Variables,Amount,,
0.91,3.379120879,13.2792922,0.763559301,2.572976433,,,,,,,,,,,,,,
0.92,3.342391304,13.24256263,0.761447351,2.572976433,,,,,,,,,,,,,,
0.93,3.306451613,13.20662293,0.759380819,2.572976433,,,,,,,,,,,,,,
0.94,3.271276596,13.17144792,0.757358255,2.572976433,,,,,,,,,,,,,,
0.95,3.236842105,13.13701343,0.755378272,2.572976433,,,,,,,,,,,,,,
0.96,3.203125,13.10329632,0.753439538,2.572976433,,,,,,,,,,,,,,
0.97,3.170103093,13.07027441,0.751540779,2.572976433,,,,,,,,,,,,,,
0.98,3.137755102,13.03792642,0.749680769,2.572976433,,,,,,,,,,,,,,
0.99,3.106060606,13.00623193,0.747858336,2.572976433,,,,,,,,,,,,,,
1,3.075,12.97517132,0.746072351,2.572976433,,,,,,,,,,,,,,
1.01,3.044554455,12.94472578,0.744321732,2.572976433,,,,,,,,,,,,,,
1.02,3.014705882,12.9148772,0.742605439,2.572976433,,,,,,,,,,,,,,
1.03,2.985436893,12.88560821,0.740922472,2.572976433,,,,,,,,,,,,,,
1.04,2.956730769,12.85690209,0.73927187,2.572976433,,,,,,,,,,,,,,
1.05,2.928571429,12.82874275,0.737652708,2.572976433,,,,,,,,,,,,,,
1.06,2.900943396,12.80111472,0.736064096,2.572976433,,,,,,,,,,,,,,
1.07,2.873831776,12.7740031,0.734505178,2.572976433,,,,,,,,,,,,,,
1.08,2.847222222,12.74739354,0.732975129,2.572976433,,,,,,,,,,,,,,
1.09,2.821100917,12.72127224,0.731473154,2.572976433,,,,,,,,,,,,,,
1.1,2.795454545,12.69562587,0.729998487,2.572976433,,,,,,,,,,,,,,
1.11,2.77027027,12.67044159,0.728550391,2.572976433,,,,,,,,,,,,,,
1.12,2.745535714,12.64570704,0.727128155,2.572976433,,,,,,,,,,,,,,
1.13,2.721238938,12.62141026,0.72573109,2.572976433,,,,,,,,,,,,,,
1.14,2.697368421,12.59753974,0.724358535,2.572976433,,,,,,,,,,,,,,
1.15,2.673913043,12.57408436,0.723009851,2.572976433,,,,,,,,,,,,,,
1.16,2.650862069,12.55103339,0.72168442,2.572976433,,,,,,,,,,,,,,
1.17,2.628205128,12.52837645,0.720381646,2.572976433,,,,,,,,,,,,,,
1.18,2.605932203,12.50610352,0.719100953,2.572976433,,,,,,,,,,,,,,
1.19,2.584033613,12.48420493,0.717841784,2.572976433,,,,,,,,,,,,,,
1.2,2.5625,12.46267132,0.716603601,2.572976433,,,,,,,,,,,,,,
1.21,2.541322314,12.44149363,0.715385884,2.572976433,,,,,,,,,,,,,,
1.22,2.520491803,12.42066312,0.71418813,2.572976433,,,,,,,,,,,,,,
1.23,2.5,12.40017132,0.713009851,2.572976433,,,,,,,,,,,,,,
1.24,2.47983871,12.38001003,0.711850577,2.572976433,,,,,,,,,,,,,,
1.25,2.46,12.36017132,0.710709851,2.572976433,,,,,,,,,,,,,,
1.26,2.44047619,12.34064751,0.709587232,2.572976433,,,,,,,,,,,,,,
1.27,2.421259843,12.32143116,0.708482292,2.572976433,,,,,,,,,,,,,,
1.28,2.40234375,12.30251507,0.707394617,2.572976433,,,,,,,,,,,,,,
1.29,2.38372093,12.28389225,0.706323804,2.572976433,,,,,,,,,,,,,,
1.3,2.365384615,12.26555594,0.705269466,2.572976433,,,,,,,,,,,,,,
1.31,2.347328244,12.24749957,0.704231225,2.572976433,,,,,,,,,,,,,,
1.32,2.329545455,12.22971678,0.703208715,2.572976433,,,,,,,,,,,,,,
1.33,2.312030075,12.2122014,0.70220158,2.572976433,,,,,,,,,,,,,,
1.34,2.294776119,12.19494744,0.701209478,2.572976433,,,,,,,,,,,,,,
1.35,2.277777778,12.1779491,0.700232073,2.572976433,,,,,,,,,,,,,,
1.36,2.261029412,12.16120073,0.699269042,2.572976433,,,,,,,,,,,,,,
1.37,2.244525547,12.14469687,0.69832007,2.572976433,,,,,,,,,,,,,,
1.38,2.22826087,12.12843219,0.697384851,2.572976433,,,,,,,,,,,,,,
1.39,2.212230216,12.11240154,0.696463088,2.572976433,,,,,,,,,,,,,,
1.4,2.196428571,12.09659989,0.695554494,2.572976433,,,,,,,,,,,,,,
1.41,2.180851064,12.08102238,0.694658787,2.572976433,,,,,,,,,,,,,,
1.42,2.165492958,12.06566428,0.693775696,2.572976433,,,,,,,,,,,,,,
1.43,2.15034965,12.05052097,0.692904956,2.572976433,,,,,,,,,,,,,,
1.44,2.135416667,12.03558799,0.692046309,2.572976433,,,,,,,,,,,,,,
1.45,2.120689655,12.02086098,0.691199506,2.572976433,,,,,,,,,,,,,,
1.46,2.106164384,12.0063357,0.690364303,2.572976433,,,,,,,,,,,,,,
1.47,2.091836735,11.99200806,0.689540463,2.572976433,,,,,,,,,,,,,,
1.48,2.077702703,11.97787402,0.688727756,2.572976433,,,,,,,,,,,,,,
1.49,2.063758389,11.96392971,0.687925958,2.572976433,,,,,,,,,,,,,,
1.5,2.05,11.95017132,0.687134851,2.572976433,,,,,,,,,,,,,,
1.51,2.036423841,11.93659516,0.686354222,2.572976433,,,,,,,,,,,,,,
1.52,2.023026316,11.92319764,0.685583864,2.572976433,,,,,,,,,,,,,,
1.53,2.009803922,11.90997524,0.684823576,2.572976433,,,,,,,,,,,,,,
1.54,1.996753247,11.89692457,0.684073163,2.572976433,,,,,,,,,,,,,,
1.55,1.983870968,11.88404229,0.683332432,2.572976433,,,,,,,,,,,,,,
1.56,1.971153846,11.87132517,0.682601197,2.572976433,,,,,,,,,,,,,,
1.57,1.958598726,11.85877005,0.681879278,2.572976433,,,,,,,,,,,,,,
1.58,1.946202532,11.84637385,0.681166497,2.572976433,,,,,,,,,,,,,,
1.59,1.933962264,11.83413359,0.680462681,2.572976433,,,,,,,,,,,,,,
1.6,1.921875,11.82204632,0.679767663,2.572976433,,,,,,,,,,,,,,
1.61,1.909937888,11.81010921,0.67908128,2.572976433,,,,,,,,,,,,,,
1.62,1.898148148,11.79831947,0.678403369,2.572976433,,,,,,,,,,,,,,
1.63,1.886503067,11.78667439,0.677733777,2.572976433,,,,,,,,,,,,,,
1.64,1.875,11.77517132,0.677072351,2.572976433,,,,,,,,,,,,,,
1.65,1.863636364,11.76380768,0.676418942,2.572976433,,,,,,,,,,,,,,
1.66,1.852409639,11.75258096,0.675773405,2.572976433,,,,,,,,,,,,,,
1.67,1.841317365,11.74148869,0.675135599,2.572976433,,,,,,,,,,,,,,
1.68,1.830357143,11.73052846,0.674505387,2.572976433,,,,,,,,,,,,,,
1.69,1.819526627,11.71969795,0.673882632,2.572976433,,,,,,,,,,,,,,
1.7,1.808823529,11.70899485,0.673267204,2.572976433,,,,,,,,,,,,,,
1.71,1.798245614,11.69841693,0.672658974,2.572976433,,,,,,,,,,,,,,
1.72,1.787790698,11.68796202,0.672057816,2.572976433,,,,,,,,,,,,,,
1.73,1.777456647,11.67762797,0.671463608,2.572976433,,,,,,,,,,,,,,
1.74,1.767241379,11.6674127,0.67087623,2.572976433,,,,,,,,,,,,,,
1.75,1.757142857,11.65731418,0.670295565,2.572976433,,,,,,,,,,,,,,
1.76,1.747159091,11.64733041,0.669721499,2.572976433,,,,,,,,,,,,,,
1.77,1.737288136,11.63745946,0.669153919,2.572976433,,,,,,,,,,,,,,
1.78,1.72752809,11.62769941,0.668592716,2.572976433,,,,,,,,,,,,,,
1.79,1.717877095,11.61804842,0.668037784,2.572976433,,,,,,,,,,,,,,
1.8,1.708333333,11.60850465,0.667489018,2.572976433,,,,,,,,,,,,,,
1.81,1.698895028,11.59906635,0.666946315,2.572976433,,,,,,,,,,,,,,
1.82,1.68956044,11.58973176,0.666409576,2.572976433,,,,,,,,,,,,,,
1.83,1.680327869,11.58049919,0.665878703,2.572976433,,,,,,,,,,,,,,
1.84,1.671195652,11.57136697,0.665353601,2.572976433,,,,,,,,,,,,,,
1.85,1.662162162,11.56233348,0.664834175,2.572976433,,,,,,,,,,,,,,
1.86,1.653225806,11.55339713,0.664320335,2.572976433,,,,,,,,,,,,,,
1.87,1.644385027,11.54455635,0.66381199,2.572976433,,,,,,,,,,,,,,
1.88,1.635638298,11.53580962,0.663309053,2.572976433,,,,,,,,,,,,,,
1.89,1.626984127,11.52715545,0.662811438,2.572976433,,,,,,,,,,,,,,
1.9,1.618421053,11.51859237,0.662319061,2.572976433,,,,,,,,,,,,,,
1.91,1.609947644,11.51011896,0.66183184,2.572976433,,,,,,,,,,,,,,
1.92,1.6015625,11.50173382,0.661349695,2.572976433,,,,,,,,,,,,,,
1.93,1.593264249,11.49343557,0.660872545,2.572976433,,,,,,,,,,,,,,
1.94,1.585051546,11.48522287,0.660400315,2.572976433,,,,,,,,,,,,,,
1.95,1.576923077,11.4770944,0.659932928,2.572976433,,,,,,,,,,,,,,
1.96,1.568877551,11.46904887,0.65947031,2.572976433,,,,,,,,,,,,,,
1.97,1.560913706,11.46108503,0.659012389,2.572976433,,,,,,,,,,,,,,
1.98,1.553030303,11.45320162,0.658559093,2.572976433,,,,,,,,,,,,,,
1.99,1.545226131,11.44539745,0.658110353,2.572976433,,,,,,,,,,,,,,
2,1.5375,11.43767132,0.657666101,2.572976433,,,,,,,,,,,,,,
